Year,Act Name,,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/vorp139408.pdf"",""Validation of Registrars’ Proceedings (Chapter 139)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/poa140283.pdf"",""Powers of Attorney (Chapter 140)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/s141159.pdf"",""Societies (Chapter 141)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/eofim147341.pdf"",""Employment of Females in Mines (Chapter 147)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/eopst148452.pdf"",""Employment of Private Sector Trainees (Chapter 148)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/na149287.pdf"",""National Apprenticeship (Chapter 149)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/fea150308.pdf"",""Foreign Employment Agency (Chapter 150)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/fea151319.pdf"",""Fee-Charging Employment Agencies (Chapter 151)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/toeow154449.pdf"",""Termination of Employment of Workmen (Chapter 154)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/eh155255.pdf"",""Employees’ Holidays (Chapter 155)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pls156356.pdf"",""Privilege Leave (Private Sector) (Chapter 156)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/wc158306.pdf"",""Workmen’s Compensation (Chapter 158)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/iil159267.pdf"",""Indian Immigrant Labour (Chapter 159)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/el160236.pdf"",""Estate Labour (Indian) (Chapter 160)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/eq161239.pdf"",""Estate Quarters (Chapter 161)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pogetir162513.pdf"",""Payment of Gratuities etc., To Indian Repatriates (Chapter 162)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/t163145.pdf"",""Tindus (Chapter 163)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mw164199.pdf"",""Minimum Wages (Chapter 164)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/idaoe166460.pdf"",""Interim Devaluation Allowance of Employees (Chapter 166)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/saow167338.pdf"",""Special Allowances of Workers (Chapter 167)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/saow168434.pdf"",""Supplementary Allowance of Workers (Chapter 168)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/braow1169432.pdf"",""Budgetary Relief Allowance of Workers (No.1) (Chapter 169)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/braow2170432.pdf"",""Budgetary Relief Allowance of Workers (No.2) (Chapter 170)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/sc171242.pdf"",""Service Contracts (Chapter 171)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/c172162.pdf"",""Chauffeurs (Chapter 172)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ds173254.pdf"",""Domestic Servants (Chapter 173)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/tu174193.pdf"",""Trade Unions (Chapter 174)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/turir175639.pdf"",""Trade Union Representatives (Entry into Requirements) (Chapter 175)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cp177354.pdf"",""Companies (Special Provisions) (Chapter 177)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/c178252.pdf"",""Companies (Donations) (Chapter 178)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/p179197.pdf"",""Partnership (Chapter 179)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/bn180211.pdf"",""Business Names (Chapter 180)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pcc182422.pdf"",""Public Corporations (Financial Control) (Chapter 182)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/bu184421.pdf"",""Business Undretakings (Acquisition) (Chapter 184)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/niobm185472.pdf"",""National Institute of Business Management (Chapter 185)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/wam188257.pdf"",""Weights and Measures (Chapter 188)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/nmc189324.pdf"",""National Matric Conversion (Chapter 189)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/c190138.pdf"",""Cheetus (Chapter 190)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mom191369.pdf"",""Manufacture of Matches (Regulation) (Chapter 191)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ss192205.pdf"",""Silkworm Seed (Chapter 192)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/saapd193392.pdf"",""Silk and Allied Products Development (Chapter 193)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/slfb196245.pdf"",""Sri Lanka Fruit Board (Chapter 196)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ap197415.pdf"",""Agricultural Products (Regulation) (Chapter 197)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/apam198428.pdf"",""Agricultural Produce (Grading and Marketing) (Chapter 198)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/apa199473.pdf"",""Agricultural Produce Agents (Registration) (Chapter 199)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/romvaae200664.pdf"",""Requisitioning of Motor Vehicles and Agricultural Equipment (Chapter 200)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/sliom201377.pdf"",""Sri Lanka Institute of Marketing (Chapter 201)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pmb202233.pdf"",""Paddy Marketing Board (Chapter 202)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/appacoham203739.pdf"",""Agricultural Products (Guaranteed Prices and Control of Hulling and Milling) (Chapter 203)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pps204303.pdf"",""Paddy Producers’ Savings (Chapter 204)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ip205289.pdf"",""Industrial Products (Chapter 205)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/id207301.pdf"",""Industrial Development (Chapter 207)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/sic208392.pdf"",""State Industrial Corporations (Chapter 208)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/coc210193.pdf"",""Chamber of Commerce (Chapter 210)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cncoi211400.pdf"",""Ceylon National Chamber of Industries (Chapter 211)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/slii212378.pdf"",""Sri Lanka Inventors Incentives (Chapter 212)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/rr213198.pdf"",""Rice Reserves (Chapter 213)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cop216237.pdf"",""Control of Prices (Chapter 216)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/npc217325.pdf"",""National Prices Commission (Chapter 217)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cp219289.pdf"",""Consumer Protection (Chapter 219)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cpc220385.pdf"",""Ceylon Petrolium Corporation (Chapter 220)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ppacos221634.pdf"",""Petroleum Products (Regulation and Control of Supplies) (Chapter 221)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/fcdw222352.pdf"",""Fuel Conservation-Five Day Week (Chapter 222)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/aea223315.pdf"",""Atomic Energy Authority (Chapter 223)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ctb224282.pdf"",""Ceylon Tourist Board (Chapter 224)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/sled228353.pdf"",""Sri Lanka Export Development (Chapter 228)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/aa229300.pdf"",""Airports Authority (Chapter 229)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/rc231232.pdf"",""Rome Convention (Chapter 231)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ms233228.pdf"",""Merchant Shipping (Chapter 233)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/csc234355.pdf"",""Ceylon Shipping Corporation (Chapter 234)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/Legal_1533808362.pdf"",""Customs Ordinance (Chapter 235)"")",,,
